ID    LAKES   SPORTS CEMETERY
TOTAL   16G     837M      81M
0      867K        0        0
1      1.1M        0        0
2       13K        0        0
3         0        0        0
4      3.1M      893        0
5      521K        0        0
6       62M     258K      16K
7      617K        0      269
8      3.7M     2.4K      319
9      204K     7.1K      594
10     6.6M     127K      92K
11     1.4M      11K      747
12     152M      17M     990K
13     5.2M     910K      35K
14     166M     9.8M     748K
15      43M     4.4M     351K
16     1.1M        0        0
17     5.1M        0        0
18      51K        0        0
19     2.2M      305        0
20       97        0        0
21     4.1M        0        0
22     1.4M        0        0
23      20M     524K      29K
24      58M     2.7M     295K
25      14M     6.0K      946
26     102M     1.5M      58K
27      69M     866K      54K
28      16M     3.2M      24K
29     200M      28M     520K
30      68M     2.3M     446K
31      48M     2.0M      48K
32     4.9M     1.5M     9.7K
33      24M     2.7M     234K
34     209K        0        0
35     1.1G      74M     2.4M
36     183M     9.1M     806K
37      89M     969K     146K
38     1.9G     119M     6.1M
39     117M      37M     2.7M
40     129M     230K      13K
41     2.0G      24M     915K
42      11M     1.1K        0
43     111M        0      269
44     2.9G     9.1M     1.2M
45     476M      56M     4.1M
46      32M     2.8K     5.1K
47     2.0M        0        0
48      96M     1.3M     107K
49     109M     1.8M     123K
50     333M     123M      11M
51     170M      10M     1.4M
52     269M     9.3M     1.3M
53     4.2M     176K     3.9K
54     401M      13M     1.8M
55     259M      13M     777K
56     2.6G     253M      41M
57     622M     8.2M     1.8M
58     121M     576K      57K
59      71M      35K     8.0K
60     132M     1.5M     229K
61     142M     571K      72K
62      45M        0      599
63      61M     1.8K      789
